AYEAR,UNIV_PROVINCE_NAME,U_G,UNIV_TYPE_NAME,UNIV_NAME_TH,FAC_NAME,PROGRAM_NAME,LEV_NAME_TH,GENDER_NAME,AMOUNT
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิทยาศาสตร์และเทคโนโลยี,เทคโนโลยีอุตสาหกรรม,ปริญญาตรี,ชาย,7
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมกระบวนการเคมีและสิ่งแวดล้อม,ปริญญาตรี,หญิง,2
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมการผลิต,ปริญญาตรี,ชาย,5
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมการผลิต,ปริญญาตรี,หญิง,1
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,ปริญญาตรี,ชาย,11
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมอุตสาหการ,ปริญญาตรี,หญิง,1
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,ปริญญาตรี,ชาย,6
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมเครื่องกล,ปริญญาตรี,หญิง,2
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมเมคาทรอนิกส์,ปริญญาตรี,ชาย,1
2567,กรุงเทพมหานคร,สถาบันอุดมศึกษารัฐ,มหาวิทยาลัยของรัฐ,สถาบันเทคโนโลยีปทุมวัน,คณะวิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,ปริญญาตรี,ชาย,89
